customer_id,churn_probability
CUST00179,0.9893
CUST00180,1.0
CUST00181,0.9835
CUST00182,0.0323
CUST00183,0.0516
CUST00184,0.9777
CUST00185,0.0341
CUST00186,0.9555
CUST00187,0.9967
CUST00188,0.9993
CUST00189,0.9721
CUST00190,0.997
CUST00191,0.9797
CUST00192,0.045
CUST00193,0.9982
CUST00194,0.9545
CUST00195,0.0448
CUST00196,0.9885
CUST00197,0.0302
CUST00198,0.0538
CUST00199,0.0589
CUST00200,0.9986
CUST00201,0.9999
CUST00202,0.984
CUST00203,0.0317
CUST00204,0.0322
CUST00205,0.9875
CUST00206,0.9784
CUST00207,0.9488
CUST00208,0.9815
CUST00209,0.027
CUST00210,0.0237
CUST00211,0.9988
CUST00212,0.0321
CUST00213,0.0325
CUST00214,0.9888
CUST00215,0.0783
CUST00216,0.9836
CUST00217,0.9689
CUST00218,0.9885
CUST00219,0.9864
CUST00220,0.9956
CUST00221,0.0415
CUST00222,0.9676
CUST00223,0.96
CUST00224,0.9482
CUST00225,0.9401
CUST00226,0.0419
CUST00227,0.0373
CUST00228,0.9829
CUST00229,0.0374
CUST00230,0.0454
CUST00231,0.971
CUST00232,0.9998
CUST00233,0.0436
CUST00234,0.0256
CUST00235,0.9577
CUST00236,0.0375
CUST00237,0.9798
CUST00238,0.9948
CUST00239,0.0233
CUST00240,0.0319
CUST00241,0.9266
CUST00242,0.9497
CUST00243,0.987
CUST00244,1.0
CUST00245,0.1012
CUST00246,0.9681
CUST00247,0.0622
CUST00248,0.0211
CUST00249,0.9857
CUST00250,0.0231
CUST00251,0.0325
CUST00252,0.9696
CUST00253,0.9891
CUST00254,0.9759
CUST00255,0.0485
CUST00256,0.0309
CUST00257,0.9999
CUST00258,0.0481
CUST00259,0.0576
CUST00260,0.9983
CUST00261,0.9103
CUST00262,0.9583
CUST00263,0.9787
CUST00264,0.9752
CUST00265,0.9945
CUST00266,0.0422
CUST00267,0.0332
CUST00268,0.9834
CUST00269,0.9888
CUST00270,0.9764
CUST00271,0.9847
CUST00272,0.0918
CUST00273,0.9452
CUST00274,0.9983
CUST00275,0.9797
CUST00276,0.0404
CUST00277,0.9235
CUST00278,0.9919
CUST00279,0.9683
CUST00280,0.9899
CUST00281,0.9833
CUST00282,0.0431
CUST00283,0.0479
CUST00284,0.9948
CUST00285,0.9703
CUST00286,0.9944
CUST00287,0.0481
CUST00288,0.9134
CUST00289,0.0316
CUST00290,0.949
CUST00291,0.9633
CUST00292,0.9799
CUST00293,1.0
CUST00294,0.0227
CUST00295,0.9826
CUST00296,0.9872
CUST00297,0.0438
CUST00298,0.0616
CUST00299,0.9868
CUST00300,0.971
CUST00301,0.0498
CUST00302,0.9294
CUST00303,0.9939
CUST00304,0.0609
CUST00305,0.9779
CUST00306,0.9798
CUST00307,0.0288
CUST00308,0.962
CUST00309,0.966
CUST00310,0.0201
CUST00311,0.9727
CUST00312,0.9759
CUST00313,0.046
CUST00314,0.9999
CUST00315,0.9749
CUST00316,0.0345
CUST00317,0.0683
CUST00318,0.9815
CUST00319,0.9524
CUST00320,0.9919
CUST00321,0.9879
CUST00322,0.0358
CUST00323,0.9916
CUST00324,0.9982
CUST00325,0.9842
CUST00326,0.9887
CUST00327,0.0675
CUST00328,0.0223
CUST00329,0.0973
CUST00330,0.9898
CUST00331,0.9638
CUST00332,0.9561
CUST00333,0.9429
CUST00334,0.9997
CUST00335,0.9914
CUST00336,0.9923
CUST00337,0.9802
CUST00338,0.0143
CUST00339,0.047
CUST00340,0.0265
CUST00341,0.9877
CUST00342,0.9454
CUST00343,0.0412
CUST00344,0.9409
CUST00345,0.9779
CUST00346,0.9999
CUST00347,0.0503
CUST00348,0.9941
CUST00349,0.0421
CUST00350,0.9845
CUST00351,0.9725
CUST00352,0.9702
CUST00353,0.9705
CUST00354,0.0264
CUST00355,0.9928
CUST00356,0.9755
CUST00357,0.057
CUST00358,0.0236
CUST00359,0.9908
CUST00360,0.032
CUST00361,0.9753
CUST00362,0.0582
CUST00363,0.9817
CUST00364,0.9905
CUST00365,0.9944
CUST00366,0.9743
CUST00367,0.964
CUST00368,0.0282
CUST00369,0.9996
CUST00370,0.9835
CUST00371,0.0397
CUST00372,0.9754
CUST00373,0.0283
CUST00374,1.0
CUST00375,0.0499
CUST00376,0.0344
CUST00377,0.0328
CUST00378,0.0252
CUST00379,0.9285
CUST00380,0.101
CUST00381,0.9737
CUST00382,0.9938
CUST00383,0.9775
CUST00384,0.9824
CUST00385,0.964
CUST00386,0.0534
CUST00387,0.0676
CUST00388,0.0586
CUST00389,0.0244
CUST00390,0.9553
CUST00391,0.9945
CUST00392,0.9917
CUST00393,0.0641
CUST00394,0.0388
CUST00395,0.9996
CUST00396,0.9997
CUST00397,0.0739
CUST00398,0.9962
CUST00399,0.97
CUST00400,0.9873
CUST00401,0.9526
CUST00402,0.9421
CUST00403,0.938
CUST00404,0.9915
CUST00405,0.9977
CUST00406,0.984
CUST00407,0.0845
CUST00408,0.9698
CUST00409,0.9788
CUST00410,0.0211
CUST00411,0.9789
CUST00412,0.0262
CUST00413,0.0337
CUST00414,0.0264
CUST00415,0.9882
CUST00416,0.0265
CUST00417,0.9735
CUST00418,0.9882
CUST00419,0.9704
CUST00420,0.0486
CUST00421,0.0467
CUST00422,0.9676
CUST00423,0.9044
CUST00424,0.9841
CUST00425,0.992
CUST00426,0.9939
CUST00427,0.9618
CUST00428,0.0352
CUST00429,0.9982
CUST00430,0.0352
CUST00431,0.9719
CUST00432,0.0277
CUST00433,0.981
CUST00434,0.9852
CUST00435,0.9907
CUST00436,0.0254
CUST00437,0.0628
CUST00438,0.0334
CUST00439,0.9785
CUST00440,0.0284
CUST00441,0.0709
CUST00442,0.9989
CUST00443,0.025
CUST00444,0.9858
CUST00445,0.9866
CUST00446,0.9999
CUST00447,0.9998
CUST00448,0.0523
CUST00449,0.9913
CUST00450,0.0198
CUST00451,0.0528
CUST00452,0.987
CUST00453,0.0424
CUST00454,0.0553
CUST00455,0.9734
CUST00456,0.0398
CUST00457,0.9809
CUST00458,0.9983
CUST00459,0.9812
CUST00460,0.9714
CUST00461,0.9854
CUST00462,0.9581
CUST00463,0.9856
CUST00464,0.9846
CUST00465,0.9706
CUST00466,0.0391
CUST00467,0.0311
CUST00468,0.0188
CUST00469,0.9964
CUST00470,0.049
CUST00471,0.9806
CUST00472,0.0303
CUST00473,0.9801
CUST00474,0.9737
CUST00475,0.9888
CUST00476,0.9801
CUST00477,0.9882
CUST00478,0.9879
CUST00479,0.996
CUST00480,0.9922
CUST00481,0.9614
CUST00482,0.9812
CUST00483,0.9883
CUST00484,0.9599
CUST00485,0.093
CUST00486,0.0693
CUST00487,0.9927
CUST00488,0.0435
CUST00489,0.0422
CUST00490,0.9638
CUST00491,0.9944
CUST00492,0.0929
CUST00493,0.9715
CUST00494,0.0487
CUST00495,0.9999
CUST00496,0.998
CUST00497,0.9879
CUST00498,0.0319
CUST00499,0.0205
CUST00500,0.9875
CUST00501,0.0268
CUST00502,0.032
CUST00503,0.9915
CUST00504,0.9341
CUST00505,0.9836
CUST00506,0.9998
CUST00507,0.9498
CUST00508,0.0365
CUST00509,0.9623
CUST00510,0.0651
CUST00511,0.0521
CUST00512,0.9877
CUST00513,0.9894
CUST00514,0.9877
CUST00515,0.9858
CUST00516,0.089
CUST00517,0.0234
CUST00518,0.9551
CUST00519,0.9796
CUST00520,0.0216
CUST00521,0.9932
CUST00522,0.0416
CUST00523,0.9867
CUST00524,0.9967
CUST00525,0.9999
CUST00526,0.0716
CUST00527,0.0317
CUST00528,0.9638
CUST00529,0.9907
CUST00530,0.9843
CUST00531,0.9983
CUST00532,0.9867
CUST00533,0.0403
CUST00534,0.0382
CUST00535,0.9816
CUST00536,0.9752
CUST00537,0.0856
CUST00538,0.9987
CUST00539,0.0428
CUST00540,0.0439
CUST00541,0.9974
CUST00542,0.0247
CUST00543,0.9817
CUST00544,0.9895
CUST00545,1.0
CUST00546,0.979
CUST00547,0.0947
CUST00548,0.0262
CUST00549,0.0625
CUST00550,0.9726
CUST00551,0.9999
CUST00552,0.967
CUST00553,0.0802
CUST00554,0.0469
CUST00555,0.0532
CUST00556,0.0855
CUST00557,0.9936
CUST00558,0.1024
CUST00559,0.0619
CUST00560,0.9789
CUST00561,0.0699
CUST00562,0.9679
CUST00563,0.9989
CUST00564,0.0229
CUST00565,0.9938
CUST00566,0.9866
CUST00567,0.9985
CUST00568,0.9947
CUST00569,1.0
CUST00570,0.9763
CUST00571,0.0282
CUST00572,0.0408
CUST00573,0.0397
CUST00574,0.0306
CUST00575,0.9888
CUST00576,0.9922
CUST00577,0.9745
CUST00578,0.0427
CUST00579,0.9969
CUST00580,0.0295
CUST00581,0.986
CUST00582,0.9823
CUST00583,0.9782
CUST00584,0.9884
CUST00585,0.9958
CUST00586,0.9944
CUST00587,0.9897
CUST00588,0.9612
CUST00589,0.0231
CUST00590,0.9975
CUST00591,0.9692
CUST00592,0.0294
CUST00593,0.9897
CUST00594,0.9923
CUST00595,0.9868
CUST00596,0.0447
CUST00597,0.0272
CUST00598,0.9694
CUST00599,0.9707
CUST00600,0.9861
CUST00601,0.9578
CUST00602,0.9841
CUST00603,0.0315
CUST00604,0.9539
CUST00605,0.9869
CUST00606,0.0454
CUST00607,0.9802
CUST00608,0.9183
CUST00609,0.9633
CUST00610,0.0177
CUST00611,0.0267
CUST00612,0.9903
CUST00613,0.9986
CUST00614,0.0322
CUST00615,0.0233
CUST00616,0.0329
CUST00617,0.0109
CUST00618,0.0356
CUST00619,0.991
CUST00620,0.997
CUST00621,0.9791
CUST00622,0.9836
CUST00623,0.028
CUST00624,0.9756
CUST00625,0.993
CUST00626,0.0676
CUST00627,0.9835
CUST00628,0.0553
CUST00629,0.9693
CUST00630,0.956
CUST00631,0.0321
CUST00632,0.0369
CUST00633,0.0235
CUST00634,0.9765
CUST00635,0.993
CUST00636,0.9736
CUST00637,0.9998
CUST00638,0.9934
CUST00639,0.9982
CUST00640,0.073
CUST00641,0.9805
CUST00642,0.961
CUST00643,0.9994
CUST00644,0.9814
CUST00645,0.0192
CUST00646,0.9911
CUST00647,0.0394
CUST00648,0.9885
CUST00649,0.986
CUST00650,0.0457
CUST00651,0.0327
CUST00652,0.9127
CUST00653,0.9727
CUST00654,0.9976
CUST00655,0.9918
CUST00656,0.0443
CUST00657,0.9896
CUST00658,0.0303
CUST00659,0.9658
CUST00660,0.9641
CUST00661,0.9453
CUST00662,0.0513
CUST00663,0.0306
CUST00664,0.9913
CUST00665,0.986
CUST00666,0.0335
CUST00667,0.046
CUST00668,1.0
CUST00669,0.0404
CUST00670,0.9849
CUST00671,0.0858
CUST00672,0.9955
CUST00673,0.989
CUST00674,0.9809
CUST00675,0.0349
CUST00676,0.0531
CUST00677,0.9679
CUST00678,0.0449
CUST00679,0.9734
CUST00680,0.052
CUST00681,0.0262
CUST00682,0.9999
CUST00683,0.0371
CUST00684,0.0458
CUST00685,0.9897
CUST00686,0.9804
CUST00687,0.0286
CUST00688,0.9904
CUST00689,0.9951
CUST00690,0.9181
CUST00691,0.9463
CUST00692,0.9753
CUST00693,0.0331
CUST00694,0.9879
CUST00695,0.058
CUST00696,0.9873
CUST00697,0.9612
CUST00698,0.0312
CUST00699,0.9724
CUST00700,0.062
CUST00701,0.9908
CUST00702,0.9762
CUST00703,0.9092
CUST00704,0.0626
CUST00705,0.0734
CUST00706,0.9441
CUST00707,0.9654
CUST00708,0.9983
CUST00709,0.9989
CUST00710,0.9882
CUST00711,0.9143
CUST00712,0.0549
CUST00713,0.9767
CUST00714,0.051
CUST00715,0.0214
CUST00716,0.9881
CUST00717,0.0411
CUST00718,0.0655
CUST00719,0.9862
CUST00720,0.0165
CUST00721,0.9716
CUST00722,0.9788
CUST00723,0.025
CUST00724,0.9646
CUST00725,0.9949
CUST00726,0.944
CUST00727,0.9814
CUST00728,0.9821
CUST00729,0.9386
CUST00730,0.9768
CUST00731,0.9758
CUST00732,0.0345
CUST00733,0.9607
CUST00734,1.0
CUST00735,0.9959
CUST00736,0.9855
CUST00737,0.9823
CUST00738,0.9313
CUST00739,0.984
CUST00740,1.0
CUST00741,0.9871
CUST00742,0.0478
CUST00743,0.0689
CUST00744,0.9836
CUST00745,1.0
CUST00746,0.986
CUST00747,0.9896
CUST00748,0.9606
CUST00749,0.9886
CUST00750,0.0237
CUST00751,0.0286
CUST00752,0.9741
CUST00753,0.9601
CUST00754,0.9866
CUST00755,0.9721
CUST00756,0.9283
CUST00757,0.9982
CUST00758,0.0276
CUST00759,0.9523
CUST00760,0.0204
CUST00761,0.0414
CUST00762,0.9851
CUST00763,0.0308
CUST00764,0.0308
CUST00765,0.9859
CUST00766,0.9945
CUST00767,0.9712
CUST00768,0.9899
CUST00769,0.0261
CUST00770,0.9999
CUST00771,0.977
CUST00772,0.9341
CUST00773,0.9983
CUST00774,0.9452
CUST00775,0.9766
CUST00776,0.1042
CUST00777,0.9622
CUST00778,0.0554
CUST00779,0.0421
CUST00780,0.9611
CUST00781,0.99
CUST00782,0.0677
CUST00783,0.996
CUST00784,0.0158
CUST00785,0.9685
CUST00786,0.9967
CUST00787,0.9372
CUST00788,0.9816
CUST00789,0.9682
CUST00790,0.9742
CUST00791,0.9678
CUST00792,0.0454
CUST00793,0.047
CUST00794,0.9936
CUST00795,0.9609
CUST00796,0.9461
CUST00797,0.9877
CUST00798,0.0319
CUST00799,0.0492
CUST00800,0.9834
CUST00801,0.0267
CUST00802,0.9868
CUST00803,0.9376
CUST00804,0.9509
CUST00805,0.9936
CUST00806,0.9976
CUST00807,0.058
CUST00808,0.9543
CUST00809,0.9877
CUST00810,0.9983
CUST00811,0.9975
CUST00812,0.0247
CUST00813,0.9764
CUST00814,0.9836
CUST00815,1.0
CUST00816,0.9919
CUST00817,0.971
CUST00818,0.9814
CUST00819,0.0639
CUST00820,0.9932
CUST00821,0.924
CUST00822,0.9962
CUST00823,0.9842
CUST00824,0.0199
CUST00825,0.959
CUST00826,0.9844
CUST00827,1.0
CUST00828,0.9619
CUST00829,0.9693
CUST00830,0.0352
CUST00831,0.0257
CUST00832,0.9664
CUST00833,0.9787
CUST00834,0.0188
CUST00835,0.0266
CUST00836,0.0398
CUST00837,0.9938
CUST00838,0.9983
CUST00839,0.9983
CUST00840,0.9927
CUST00841,0.994
CUST00842,0.9738
CUST00843,0.0288
CUST00844,0.9748
CUST00845,0.9831
CUST00846,0.951
CUST00847,0.0714
CUST00848,0.0382
CUST00849,0.9049
CUST00850,0.8451
CUST00851,0.9969
CUST00852,0.9836
CUST00853,0.0236
CUST00854,0.9473
CUST00855,0.9998
CUST00856,0.9662
CUST00857,0.9979
CUST00858,0.0379
CUST00859,0.0636
CUST00860,0.9983
CUST00861,0.9866
CUST00862,0.0465
CUST00863,0.9813
CUST00864,0.9479
CUST00865,0.9921
CUST00866,0.0336
CUST00867,0.9648
CUST00868,0.0329
CUST00869,0.9546
CUST00870,0.9889
CUST00871,0.9913
CUST00872,0.9855
CUST00873,0.0306
CUST00874,0.9585
CUST00875,0.9787
CUST00876,0.0281
CUST00877,0.0878
CUST00878,0.9977
CUST00879,0.9333
CUST00880,0.9906
CUST00881,0.0322
CUST00882,0.9914
CUST00883,0.9811
CUST00884,0.0316
CUST00885,0.9794
CUST00886,1.0
CUST00887,0.995
CUST00888,0.9927
CUST00889,0.9878
CUST00890,0.966
CUST00891,0.0392
CUST00892,0.0277
CUST00893,0.0334
CUST00894,0.0494
CUST00895,0.998
CUST00896,0.9912
CUST00897,0.0705
CUST00898,0.9275
CUST00899,0.997
CUST00900,0.9909
CUST00901,0.9997
CUST00902,0.9872
CUST00903,0.9755
CUST00904,0.9942
CUST00905,0.9914
CUST00906,0.9722
CUST00907,0.0472
CUST00908,0.9987
CUST00909,0.0703
CUST00910,0.0506
CUST00911,0.0448
CUST00912,0.9955
CUST00913,0.9862
CUST00914,0.9286
CUST00915,0.0548
CUST00916,0.0491
CUST00917,0.9811
CUST00918,0.9552
CUST00919,0.9821
CUST00920,0.9893
CUST00921,0.9729
CUST00922,0.9746
CUST00923,0.0286
CUST00924,0.0173
CUST00925,0.9239
CUST00926,0.0366
CUST00927,0.0257
CUST00928,0.9849
CUST00929,0.0291
CUST00930,0.0752
CUST00931,0.988
CUST00932,0.0491
CUST00933,0.0534
CUST00934,0.9862
CUST00935,0.0253
CUST00936,0.0761
CUST00937,0.957
CUST00938,0.0352
CUST00939,0.9741
CUST00940,0.9672
CUST00941,0.0561
CUST00942,0.9657
CUST00943,0.051
CUST00944,0.9644
CUST00945,0.9677
CUST00946,0.0624
CUST00947,0.9931
CUST00948,0.9487
CUST00949,0.0237
CUST00950,0.953
CUST00951,0.9738
CUST00952,0.9341
CUST00953,0.9232
CUST00954,0.0276
CUST00955,0.0664
CUST00956,0.0288
CUST00957,0.0432
CUST00958,0.9802
CUST00959,0.9982
CUST00960,0.0306
CUST00961,0.9769
CUST00962,0.9922
CUST00963,0.982
CUST00964,0.9984
CUST00965,0.963
CUST00966,0.96
CUST00967,0.0336
CUST00968,0.9909
CUST00969,0.9785
CUST00970,0.959
CUST00971,0.1012
CUST00972,0.0282
CUST00973,0.9839
CUST00974,0.9128
CUST00975,0.9778
CUST00976,0.9983
CUST00977,0.0368
CUST00978,0.0416
CUST00979,0.9662
CUST00980,0.965
CUST00981,0.9562
CUST00982,0.9848
CUST00983,0.9875
CUST00984,0.049
CUST00985,0.9987
CUST00986,0.9678
CUST00987,0.9948
CUST00988,0.981
CUST00989,0.0251
CUST00990,0.0394
CUST00991,0.0304
CUST00992,0.0297
CUST00993,0.953
CUST00994,0.0364
CUST00995,0.9959
CUST00996,0.9822
CUST00997,0.9673
CUST00998,0.9983
CUST00999,0.046
CUST01000,0.9742
CUST01001,0.0546
CUST01002,0.974
CUST01003,0.0646
CUST01004,0.9945
CUST01005,0.9999
CUST01006,0.0465
CUST01007,0.9854
CUST01008,0.9776
CUST01009,0.9944
CUST01010,0.886
CUST01011,0.9681
CUST01012,0.0242
CUST01013,0.0316
CUST01014,0.0323
CUST01015,0.0585
CUST01016,0.9585
CUST01017,0.9861
CUST01018,0.9866
CUST01019,0.9906
CUST01020,0.9686
CUST01021,0.9795
CUST01022,1.0
CUST01023,0.9707
CUST01024,0.0479
CUST01025,0.9752
CUST01026,0.029
CUST01027,0.969
CUST01028,0.9997
CUST01029,0.9858
CUST01030,0.9887
CUST01031,0.9467
CUST01032,0.9761
CUST01033,0.9852
CUST01034,0.052
CUST01035,0.9896
CUST01036,0.026
CUST01037,1.0
CUST01038,0.9832
CUST01039,0.992
CUST01040,0.0177
CUST01041,0.9865
CUST01042,0.0362
CUST01043,0.0402
CUST01044,0.9906
CUST01045,0.9448
CUST01046,0.9955
CUST01047,0.9695
CUST01048,0.0263
CUST01049,0.0296
CUST01050,0.9946
CUST01051,0.9558
CUST01052,0.0593
CUST01053,0.0348
CUST01054,0.9851
CUST01055,0.0499
CUST01056,0.0476
CUST01057,0.9675
CUST01058,0.999
CUST01059,0.0569
CUST01060,0.9635
CUST01061,0.9797
CUST01062,0.9955
CUST01063,0.9895
CUST01064,0.9681
CUST01065,0.0462
CUST01066,1.0
CUST01067,0.0225
CUST01068,0.9786
CUST01069,0.0596
CUST01070,0.9543
CUST01071,0.9959
CUST01072,0.0284
CUST01073,0.05
CUST01074,0.9962
CUST01075,0.9687
CUST01076,0.9742
CUST01077,0.0381
CUST01078,0.9863
CUST01079,0.0568
CUST01080,0.9982
CUST01081,0.9717
CUST01082,1.0
CUST01083,0.9989
CUST01084,0.9802
CUST01085,0.0343
CUST01086,0.9695
CUST01087,0.9908
CUST01088,0.9724
CUST01089,0.989
CUST01090,0.9855
CUST01091,0.0427
CUST01092,0.9538
CUST01093,0.0196
CUST01094,0.9863
CUST01095,0.0365
CUST01096,0.9921
CUST01097,0.9695
CUST01098,0.9827
CUST01099,0.9564
CUST01100,0.033
CUST01101,0.9761
CUST01102,0.9594
CUST01103,0.9962
CUST01104,0.9958
CUST01105,0.9831
CUST01106,0.9913
CUST01107,0.9971
CUST01108,0.066
CUST01109,0.0476
CUST01110,0.9987
CUST01111,0.995
CUST01112,0.0579
CUST01113,0.9774
CUST01114,0.9928
CUST01115,0.9914
CUST01116,0.9862
CUST01117,0.9568
CUST01118,0.9817
CUST01119,0.964
CUST01120,0.9991
CUST01121,0.9994
CUST01122,0.9514
CUST01123,0.9918
CUST01124,0.9526
CUST01125,0.9776
CUST01126,0.9887
CUST01127,0.9982
CUST01128,0.0384
CUST01129,0.0575
CUST01130,0.0369
CUST01131,0.028
CUST01132,0.0373
CUST01133,0.9761
CUST01134,0.9676
CUST01135,0.0569
CUST01136,0.9873
CUST01137,0.9904
CUST01138,0.9852
CUST01139,0.988
CUST01140,0.9711
CUST01141,1.0
CUST01142,0.9974
CUST01143,0.9829
CUST01144,0.9989
CUST01145,0.0761
CUST01146,0.9903
CUST01147,0.0342
CUST01148,0.0637
CUST01149,0.9851
CUST01150,0.9726
CUST01151,0.9994
CUST01152,0.0408
CUST01153,0.9876
CUST01154,0.0435
CUST01155,0.9915
CUST01156,0.0379
CUST01157,0.9631
CUST01158,0.0274
CUST01159,0.0385
CUST01160,1.0
CUST01161,0.9844
CUST01162,0.9901
CUST01163,0.9674
CUST01164,0.9898
CUST01165,0.9974
CUST01166,0.952
CUST01167,0.0214
CUST01168,0.9981
CUST01169,0.0307
CUST01170,0.0546
CUST01171,0.9722
CUST01172,0.9996
CUST01173,0.0445
CUST01174,0.0332
CUST01175,0.9232
CUST01176,0.9844
CUST01177,0.96
CUST01178,0.9968
CUST01179,0.0223
CUST01180,0.9993
CUST01181,0.9995
CUST01182,0.9996
CUST01183,0.9926
CUST01184,0.0563
CUST01185,0.0762
CUST01186,0.9828
CUST01187,0.941
CUST01188,0.0283
CUST01189,0.0393
CUST01190,0.9506
CUST01191,0.9888
CUST01192,0.0214
CUST01193,0.9942
CUST01194,0.9854
CUST01195,0.0267
CUST01196,1.0
CUST01197,0.9846
CUST01198,0.9802
CUST01199,0.9752
CUST01200,0.9946
CUST01201,0.9619
CUST01202,0.9874
CUST01203,0.9884
CUST01204,0.0413
CUST01205,0.0438
CUST01206,0.9909
CUST01207,0.0436
CUST01208,0.0431
CUST01209,0.0506
CUST01210,0.9621
CUST01211,0.9827
CUST01212,1.0
CUST01213,0.9321
CUST01214,0.9682
CUST01215,0.975
CUST01216,0.0587
CUST01217,0.0296
CUST01218,0.0297
CUST01219,0.9769
CUST01220,0.9686
CUST01221,0.0283
CUST01222,0.0582
CUST01223,0.9929
CUST01224,0.9824
CUST01225,0.9878
CUST01226,0.948
CUST01227,0.9564
CUST01228,0.9997
CUST01229,0.0652
CUST01230,0.9915
CUST01231,0.1033
CUST01232,0.0601
CUST01233,0.9537
CUST01234,0.9856
CUST01235,0.0349
CUST01236,0.035
CUST01237,0.9138
CUST01238,0.036
CUST01239,0.9475
CUST01240,0.956
CUST01241,0.9791
CUST01242,0.0546
CUST01243,0.9782
CUST01244,0.9925
CUST01245,0.9829
CUST01246,0.9825
CUST01247,0.0617
CUST01248,0.9901
CUST01249,0.9849
CUST01250,0.0371
CUST01251,0.9943
CUST01252,1.0
CUST01253,0.9294
CUST01254,0.9845
CUST01255,0.972
CUST01256,0.0186
CUST01257,0.0239
CUST01258,0.9892
CUST01259,0.0428
CUST01260,0.9889
CUST01261,0.9935
CUST01262,0.9928
CUST01263,0.9953
CUST01264,0.9936
CUST01265,0.9843
CUST01266,0.0337
CUST01267,0.0364
CUST01268,0.9881
CUST01269,0.0393
CUST01270,1.0
CUST01271,0.9951
CUST01272,0.9866
CUST01273,0.0421
CUST01274,0.0235
CUST01275,0.9881
CUST01276,0.9684
CUST01277,0.9665
CUST01278,0.0488
CUST01279,0.9676
CUST01280,0.0275
CUST01281,0.0413
CUST01282,0.9861
CUST01283,0.9912
CUST01284,0.9821
