customer_id,age,region,product_type,monthly_transaction_volume,avg_transaction_value,days_since_last_txn,loan_amount,late_payments_last_12m,credit_utilization_ratio,churn_label,default_label,chat_count,negative_count,positive_count,complaint_flag,all_keywords,sentiment_ratio,sentiment_score,engagement_score,high_utilization,frequent_complainer,low_engagement
CUST00034,37,Nigeria,loans,56.0,2384.81,103,44156.71,10,0.5267,1,1,1.0,1.0,0.0,1,poor service,0.0,0.0081,0.4538,0,0,0
CUST00035,33,Nigeria,loans,54.0,385.74,178,32878.11,9,0.8583,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.1803,1,0,1
CUST00036,62,Kenya,both,48.0,3445.92,140,4464.15,4,0.3557,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4006,0,0,0
CUST00037,40,Kenya,loans,31.0,2419.54,11,16417.29,2,0.7666,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5876,1,0,0
CUST00038,19,Nigeria,savings,86.0,4301.91,139,0.0,11,0.7867,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5574,1,0,0
CUST00039,55,Kenya,loans,2.0,1051.07,30,19719.54,6,0.035,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3914,0,0,0
CUST00040,36,Nigeria,both,73.0,21.47,156,47110.12,3,0.6731,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.2672,0,0,1
CUST00041,66,Nigeria,both,112.0,661.13,59,2267.32,1,0.4795,0,0,1.0,0.0,1.0,0,,1.0,0.9858,0.6306,0,0,0
CUST00042,62,South Africa,savings,105.0,1355.35,125,0.0,4,0.2024,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4973,0,0,0
CUST00043,23,Nigeria,both,44.0,3264.7,133,24876.57,7,0.4169,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3954,0,0,0
CUST00044,64,Kenya,savings,102.0,1819.59,64,0.0,6,0.8572,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.648,1,0,0
CUST00045,67,South Africa,both,29.0,600.05,173,24435.13,0,0.6898,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.1287,0,0,1
CUST00046,57,South Africa,savings,29.0,4908.05,94,0.0,9,0.6272,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5207,0,0,0
CUST00047,32,Nigeria,savings,41.0,550.05,76,0.0,3,0.0815,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.3783,0,0,0
CUST00048,52,Kenya,both,3.0,1782.05,88,13869.18,2,0.6667,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.3013,0,0,0
CUST00049,63,Nigeria,loans,32.0,4384.26,56,26389.05,8,0.7585,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5882,1,0,0
CUST00050,60,Kenya,savings,102.0,3266.55,20,0.0,8,0.95,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.8186,1,0,0
CUST00051,40,Kenya,savings,91.0,1605.79,176,0.0,9,0.798,1,1,3.0,2.0,1.0,1,fraud,0.3333,0.0064,0.3546,1,1,0
CUST00052,54,Kenya,savings,40.0,4852.03,146,0.0,0,0.0799,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.434,0,0,0
CUST00053,38,South Africa,savings,38.0,2510.48,146,0.0,4,0.9435,1,1,2.0,1.0,0.0,0,,0.0,0.0042,0.311,1,0,0
CUST00054,31,Nigeria,both,42.0,50.47,164,40369.02,3,0.7919,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.1596,1,0,1
CUST00055,52,Nigeria,savings,15.0,40.76,110,0.0,6,0.0033,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.2003,0,0,1
CUST00056,42,South Africa,savings,19.0,4705.64,177,0.0,11,0.7127,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.2956,0,0,1
CUST00057,29,Nigeria,both,119.0,1413.09,177,29995.31,1,0.304,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4251,0,0,0
CUST00058,52,Nigeria,both,83.0,4062.2,45,21547.97,7,0.605,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.7467,0,0,0
CUST00059,34,Kenya,savings,81.0,227.36,79,0.0,5,0.2828,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4731,0,0,0
CUST00060,48,Kenya,loans,34.0,743.12,18,742.93,5,0.73,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4969,0,0,0
CUST00061,36,Nigeria,loans,102.0,4285.33,126,24409.48,11,0.1867,1,1,1.0,0.0,1.0,1,blocked,1.0,0.9847,0.6327,0,0,0
CUST00062,64,Nigeria,loans,22.0,4970.52,20,46189.3,8,0.8345,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6685,1,0,0
CUST00063,62,Nigeria,savings,116.0,269.1,137,0.0,1,0.0729,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4485,0,0,0
CUST00064,42,South Africa,both,60.0,846.51,144,24576.79,5,0.0241,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.297,0,0,1
CUST00065,54,Nigeria,both,40.0,3617.33,74,38715.23,8,0.1319,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5332,0,0,0
CUST00066,27,Nigeria,both,90.0,2652.22,114,19953.54,1,0.3845,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5426,0,0,0
CUST00067,69,Nigeria,both,50.0,2035.77,170,23628.66,6,0.6567,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.269,0,0,1
CUST00068,29,Kenya,savings,33.0,980.39,136,0.0,5,0.4806,1,1,1.0,0.0,0.0,0,,0.0,0.0051,0.2422,0,0,1
CUST00069,63,Kenya,loans,82.0,4727.72,79,6648.11,0,0.4757,1,0,1.0,0.0,1.0,0,,1.0,0.986,0.701,0,0,0
CUST00070,61,Nigeria,both,86.0,869.62,163,1763.37,11,0.8656,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3322,1,0,0
CUST00071,27,Kenya,loans,72.0,1333.6,8,36709.69,4,0.5593,0,1,1.0,1.0,0.0,1,poor service,0.0,0.0081,0.6606,0,0,0
CUST00072,18,Nigeria,both,55.0,1628.25,41,23675.41,3,0.5076,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5516,0,0,0
CUST00073,56,South Africa,loans,40.0,701.53,59,46997.99,1,0.4194,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4209,0,0,0
CUST00074,63,Kenya,both,49.0,2685.8,66,9252.39,0,0.9784,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5309,1,0,0
CUST00075,55,Kenya,both,105.0,1713.21,121,12577.18,2,0.2428,1,0,1.0,0.0,0.0,0,,0.0,0.0047,0.5241,0,0,0
CUST00076,20,Kenya,loans,43.0,3043.16,142,32116.93,8,0.1556,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3613,0,0,0
CUST00077,51,Kenya,both,116.0,1845.61,10,3202.59,3,0.4924,0,0,2.0,1.0,0.0,1,blocked,0.0,0.0073,0.8111,0,0,0
CUST00078,38,Nigeria,loans,18.0,590.95,47,25418.96,5,0.6778,0,1,1.0,0.0,0.0,0,,0.0,0.0059,0.3775,0,0,0
CUST00079,65,Nigeria,savings,20.0,4364.26,147,0.0,7,0.0217,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3486,0,0,0
CUST00080,59,South Africa,loans,40.0,2553.16,91,8489.17,4,0.857,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.442,1,0,0
CUST00081,59,Nigeria,both,1.0,1616.03,56,25848.94,4,0.2831,0,1,1.0,0.0,1.0,0,,1.0,0.9847,0.3586,0,0,0
CUST00082,39,Nigeria,savings,105.0,91.66,80,0.0,5,0.6454,1,1,1.0,0.0,0.0,0,,0.0,0.0059,0.5346,0,0,0
CUST00083,34,South Africa,savings,41.0,2993.25,109,0.0,10,0.1733,1,1,2.0,1.0,0.0,0,,0.0,0.0075,0.4267,0,0,0
CUST00084,60,Kenya,loans,13.0,3914.7,107,13926.31,11,0.8719,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3949,1,0,0
CUST00085,23,Kenya,loans,74.0,3253.81,149,14563.33,3,0.3589,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4474,0,0,0
CUST00086,23,Kenya,loans,115.0,3940.72,177,7519.59,3,0.187,1,0,1.0,1.0,0.0,1,poor service,0.0,0.0081,0.5397,0,0,0
CUST00087,21,Nigeria,loans,119.0,783.38,145,48303.18,4,0.0197,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4651,0,0,0
CUST00088,44,Nigeria,loans,13.0,4858.8,19,34763.9,2,0.3088,0,0,1.0,1.0,0.0,1,blocked,0.0,0.0073,0.6387,0,0,0
CUST00089,21,Kenya,savings,95.0,1064.55,76,0.0,6,0.3792,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5628,0,0,0
CUST00090,48,Nigeria,savings,44.0,1341.23,87,0.0,6,0.0351,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4021,0,0,0
CUST00091,26,Kenya,both,100.0,2566.52,113,9043.84,5,0.5554,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5699,0,0,0
CUST00092,64,Nigeria,loans,73.0,35.93,172,12102.11,5,0.4547,1,1,1.0,1.0,0.0,0,,0.0,0.0064,0.2321,0,0,1
CUST00093,40,Nigeria,both,88.0,2217.82,80,47004.15,10,0.4931,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5909,0,0,0
CUST00094,22,Nigeria,loans,100.0,986.67,63,7269.27,1,0.1335,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.6027,0,0,0
CUST00095,54,Kenya,savings,107.0,3747.6,162,0.0,9,0.3831,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5401,0,0,0
CUST00096,35,Nigeria,loans,18.0,3791.19,133,42170.83,6,0.9678,1,1,1.0,1.0,0.0,1,blocked,0.0,0.0073,0.3453,1,0,0
CUST00097,31,Nigeria,both,87.0,3082.52,83,37311.58,9,0.3574,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6245,0,0,0
CUST00098,52,Kenya,both,17.0,2114.21,167,25087.74,6,0.793,1,1,1.0,0.0,0.0,0,,0.0,0.0042,0.1825,1,0,1
CUST00099,67,Kenya,savings,113.0,1558.07,55,0.0,9,0.1242,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6874,0,0,0
CUST00100,68,South Africa,both,75.0,4139.04,44,41633.5,7,0.1228,0,1,1.0,0.0,0.0,0,,0.0,0.0042,0.7292,0,0,0
CUST00101,40,South Africa,loans,23.0,2540.4,4,41786.71,8,0.9989,0,1,1.0,1.0,0.0,0,,0.0,0.0058,0.5857,1,0,0
CUST00102,62,Nigeria,savings,35.0,2487.37,15,0.0,4,0.6484,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5938,0,0,0
CUST00103,28,Kenya,loans,107.0,576.03,155,2856.86,10,0.6648,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3971,0,0,0
CUST00104,62,South Africa,savings,77.0,1099.73,14,0.0,3,0.4259,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.6502,0,0,0
CUST00105,66,South Africa,savings,28.0,1808.84,137,0.0,8,0.7611,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.2667,1,0,1
CUST00106,44,Nigeria,both,98.0,3497.28,14,9401.98,3,0.9282,0,1,1.0,0.0,1.0,1,blocked,1.0,0.9847,0.8318,1,0,0
CUST00107,45,Nigeria,both,86.0,4227.9,42,25666.85,9,0.082,0,1,1.0,0.0,0.0,0,,0.0,0.0047,0.7705,0,0,0
CUST00108,47,Kenya,loans,10.0,4964.37,63,42781.59,10,0.1724,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5369,0,0,0
CUST00109,21,Kenya,both,34.0,2142.89,39,32835.22,2,0.8661,0,0,1.0,0.0,0.0,0,,0.0,0.0051,0.52,1,0,0
CUST00110,62,South Africa,both,101.0,2271.49,23,30244.7,7,0.0791,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.7592,0,0,0
CUST00111,56,Nigeria,loans,42.0,3832.64,177,37523.7,6,0.3591,1,1,1.0,0.0,0.0,0,,0.0,0.0053,0.3196,0,0,0
CUST00112,63,Kenya,savings,5.0,1612.92,73,0.0,4,0.0832,1,1,1.0,1.0,0.0,0,,0.0,0.0058,0.3322,0,0,0
CUST00113,23,Kenya,loans,72.0,2707.18,76,22449.65,3,0.408,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5773,0,0,0
CUST00114,59,Nigeria,savings,107.0,3388.32,135,0.0,7,0.4472,1,1,1.0,1.0,0.0,1,poor service,0.0,0.0081,0.5825,0,0,0
CUST00115,36,Kenya,both,67.0,1188.89,164,15854.13,9,0.1801,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.29,0,0,1
CUST00116,60,South Africa,loans,117.0,1405.15,54,46441.69,4,0.0816,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6937,0,0,0
CUST00117,69,South Africa,both,14.0,1787.39,82,6251.43,4,0.4174,1,1,1.0,1.0,0.0,0,,0.0,0.0064,0.3473,0,0,0
CUST00118,63,Nigeria,both,80.0,2892.65,86,32065.15,10,0.5145,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5878,0,0,0
CUST00119,65,Nigeria,loans,78.0,1359.37,47,25275.56,9,0.737,0,1,3.0,1.0,0.0,1,blocked,0.0,0.0073,0.5924,0,0,0
CUST00120,23,Nigeria,both,118.0,1048.76,23,21575.2,8,0.726,0,1,1.0,0.0,0.0,0,,0.0,0.0042,0.7481,0,0,0
CUST00121,35,Nigeria,both,63.0,756.05,165,21770.96,7,0.0699,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.2544,0,0,1
CUST00122,33,Nigeria,both,98.0,4048.46,125,2589.27,1,0.438,1,0,1.0,0.0,0.0,0,,0.0,0.0056,0.6113,0,0,0
CUST00123,44,Kenya,savings,18.0,4431.0,122,0.0,1,0.8438,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4019,1,0,0
CUST00124,68,Nigeria,loans,6.0,4524.56,57,17941.18,0,0.597,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5165,0,0,0
CUST00125,53,Kenya,both,86.0,4109.95,119,24093.5,3,0.8549,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5925,1,0,0
CUST00126,46,Nigeria,both,1.0,695.07,25,42455.91,0,0.9509,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3818,1,0,0
CUST00127,59,Kenya,loans,105.0,497.78,22,29066.87,5,0.3343,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6846,0,0,0
CUST00128,27,Kenya,savings,3.0,2500.83,171,0.0,0,0.133,1,0,1.0,0.0,1.0,0,,1.0,0.986,0.1517,0,0,1
CUST00129,52,Kenya,savings,82.0,2611.92,41,0.0,11,0.0839,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6802,0,0,0
CUST00130,44,Nigeria,loans,54.0,3666.79,138,14449.97,5,0.1264,1,1,1.0,0.0,0.0,0,,0.0,0.0059,0.4338,0,0,0
CUST00131,28,Kenya,loans,77.0,1122.17,50,11782.65,0,0.6825,0,0,1.0,0.0,0.0,0,,0.0,0.0042,0.5708,0,0,0
CUST00132,51,South Africa,both,75.0,4655.44,117,44373.55,2,0.1196,1,0,1.0,0.0,0.0,0,,0.0,0.0042,0.5919,0,0,0
CUST00133,61,Nigeria,savings,53.0,1556.55,110,0.0,2,0.9524,1,1,1.0,0.0,1.0,0,,1.0,0.987,0.3879,1,0,0
CUST00134,61,Kenya,loans,58.0,2893.27,130,41787.99,8,0.659,1,1,1.0,0.0,1.0,0,,1.0,0.9847,0.4248,0,0,0
CUST00135,61,Nigeria,savings,60.0,4322.43,171,0.0,9,0.9555,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4105,1,0,0
CUST00136,60,Kenya,both,81.0,2622.01,77,11427.07,5,0.5635,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5973,0,0,0
CUST00137,42,South Africa,savings,85.0,3770.25,155,0.0,8,0.2023,1,1,1.0,1.0,0.0,1,fraud,0.0,0.0053,0.4922,0,0,0
CUST00138,20,Nigeria,savings,54.0,3747.64,54,0.0,1,0.1682,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.6255,0,0,0
CUST00139,68,South Africa,savings,42.0,3952.21,173,0.0,3,0.7679,1,0,3.0,0.0,3.0,0,,1.0,0.987,0.3346,1,0,0
CUST00140,41,Kenya,savings,6.0,4057.13,90,0.0,0,0.0001,1,0,2.0,0.0,1.0,0,,0.5,0.9858,0.4194,0,0,0
CUST00141,50,Nigeria,loans,93.0,1968.39,152,42816.04,4,0.8753,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4323,1,0,0
CUST00142,19,Nigeria,loans,27.0,1824.15,148,16618.95,0,0.0295,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.2399,0,0,1
CUST00143,64,South Africa,loans,52.0,4019.46,114,34149.58,9,0.6044,1,1,1.0,0.0,0.0,0,,0.0,0.0051,0.4992,0,0,0
CUST00144,64,Nigeria,both,119.0,2902.75,173,24436.38,6,0.3889,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5086,0,0,0
CUST00145,66,Nigeria,loans,94.0,3042.49,121,696.89,9,0.6116,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5582,0,0,0
CUST00146,27,Kenya,savings,42.0,2065.47,109,0.0,7,0.7822,1,1,1.0,0.0,0.0,0,,0.0,0.0042,0.3832,1,0,0
CUST00147,61,Kenya,loans,57.0,1016.06,46,26629.08,0,0.112,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5157,0,0,0
CUST00148,50,Nigeria,both,39.0,2290.08,68,36382.97,4,0.9463,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4773,1,0,0
CUST00149,25,Nigeria,loans,75.0,4848.54,2,20400.67,0,0.5958,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.8586,0,0,0
CUST00150,47,Kenya,savings,19.0,1461.43,129,0.0,0,0.382,1,0,2.0,0.0,1.0,0,,0.5,0.987,0.2407,0,0,1
CUST00151,42,South Africa,both,114.0,1367.32,109,3521.96,11,0.9791,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5601,1,0,0
CUST00152,50,South Africa,both,118.0,662.61,125,35877.26,11,0.8116,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5009,1,0,0
CUST00153,22,Kenya,savings,36.0,2411.09,113,0.0,1,0.1621,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.3739,0,0,0
CUST00154,47,Nigeria,loans,28.0,1449.77,45,32531.66,4,0.0885,0,1,2.0,1.0,0.0,1,fraud,0.0,0.0051,0.4543,0,0,0
CUST00155,53,Kenya,loans,65.0,3438.75,179,11476.72,3,0.9229,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3631,1,0,0
CUST00156,55,Nigeria,savings,77.0,684.27,78,0.0,5,0.5849,1,1,1.0,1.0,0.0,0,,0.0,0.0075,0.4864,0,0,0
CUST00157,57,Kenya,savings,77.0,1244.09,126,0.0,7,0.4634,1,1,1.0,0.0,0.0,0,,0.0,0.0051,0.4071,0,0,0
CUST00158,50,Nigeria,both,6.0,318.64,24,3092.25,4,0.0773,0,1,1.0,0.0,0.0,0,,0.0,0.0056,0.3799,0,0,0
CUST00159,54,Nigeria,loans,85.0,216.94,107,25756.56,9,0.5418,1,1,1.0,1.0,0.0,1,fraud,0.0,0.0053,0.4217,0,0,0
CUST00160,22,South Africa,both,8.0,4072.58,73,36706.61,0,0.2715,1,0,1.0,0.0,1.0,0,,1.0,0.986,0.464,0,0,0
CUST00161,59,Kenya,loans,41.0,4530.33,167,46658.61,7,0.1931,1,1,1.0,1.0,0.0,1,fraud,0.0,0.0058,0.3739,0,0,0
CUST00162,37,South Africa,loans,86.0,3821.81,137,48557.46,8,0.3911,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5379,0,0,0
CUST00163,46,Kenya,both,106.0,4327.17,168,23092.77,6,0.0357,1,1,3.0,1.0,0.0,1,poor service,0.0,0.0047,0.5527,0,0,0
CUST00164,46,Kenya,savings,76.0,442.11,57,0.0,7,0.5979,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.5183,0,0,0
CUST00165,68,Nigeria,loans,20.0,4491.69,119,28082.44,7,0.6211,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4175,0,0,0
CUST00166,34,Nigeria,savings,81.0,2335.54,114,0.0,1,0.695,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5003,0,0,0
CUST00167,37,South Africa,savings,5.0,3845.53,45,0.0,9,0.0228,0,1,1.0,1.0,0.0,0,,0.0,0.0075,0.5064,0,0,0
CUST00168,57,South Africa,both,28.0,3082.63,59,33707.82,3,0.1756,0,0,1.0,0.0,0.0,0,,0.0,0.0047,0.5046,0,0,0
CUST00169,50,Kenya,savings,15.0,1755.85,121,0.0,2,0.7724,1,0,1.0,0.0,0.0,0,,0.0,0.0042,0.2615,1,0,1
CUST00170,34,South Africa,loans,118.0,1331.35,27,6776.74,6,0.5747,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.7533,0,0,0
CUST00171,35,Kenya,loans,44.0,599.47,72,15936.8,7,0.0091,1,1,2.0,1.0,1.0,1,"blocked, blocked",0.5,0.0073,0.3985,0,0,0
CUST00172,61,Nigeria,both,67.0,2069.13,133,4313.97,4,0.7307,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4033,0,0,0
CUST00173,61,Kenya,loans,95.0,2475.57,151,20437.75,0,0.4166,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4658,0,0,0
CUST00174,25,South Africa,both,116.0,4915.74,106,24342.77,11,0.2631,1,1,1.0,0.0,1.0,1,blocked,1.0,0.9847,0.7501,0,0,0
CUST00175,38,Kenya,both,119.0,196.08,120,18221.9,9,0.7543,1,1,2.0,0.0,1.0,1,blocked,0.5,0.0053,0.4916,1,0,0
CUST00176,58,Kenya,both,20.0,2954.84,148,24090.82,5,0.3604,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.2758,0,0,1
