customer_id,default_probability
CUST00253,0.9374
CUST00254,0.9516
CUST00255,0.9963
CUST00256,0.9478
CUST00257,0.078
CUST00258,0.9556
CUST00259,0.9407
CUST00260,0.9577
CUST00261,0.9673
CUST00262,0.9627
CUST00263,0.953
CUST00264,0.9672
CUST00265,0.9665
CUST00266,0.9691
CUST00267,0.9634
CUST00268,0.9439
CUST00269,0.9641
CUST00270,0.9547
CUST00271,0.0845
CUST00272,0.0835
CUST00273,0.9522
CUST00274,0.9596
CUST00275,0.961
CUST00276,0.956
CUST00277,0.9347
CUST00278,0.9602
CUST00279,0.9508
CUST00280,0.9515
CUST00281,0.9588
CUST00282,0.9504
CUST00283,0.097
CUST00284,0.9502
CUST00285,0.9959
CUST00286,0.9553
CUST00287,0.9495
CUST00288,0.9629
CUST00289,0.0854
CUST00290,0.9567
CUST00291,0.9563
CUST00292,0.9575
CUST00293,0.9621
CUST00294,0.962
CUST00295,0.9966
CUST00296,0.9615
CUST00297,0.08
CUST00298,0.0919
CUST00299,0.9507
CUST00300,0.9438
CUST00301,0.9459
CUST00302,0.9356
CUST00303,0.0811
CUST00304,0.9392
CUST00305,0.963
CUST00306,0.9617
CUST00307,0.9605
CUST00308,0.9653
CUST00309,0.9655
CUST00310,0.9681
CUST00311,0.0792
CUST00312,0.9668
CUST00313,0.1102
CUST00314,0.0702
CUST00315,0.9394
CUST00316,0.9666
CUST00317,0.1032
CUST00318,0.0722
CUST00319,0.9533
CUST00320,0.0966
CUST00321,0.9527
CUST00322,0.1119
CUST00323,0.9614
CUST00324,0.9605
CUST00325,0.9424
CUST00326,0.9629
CUST00327,0.9343
CUST00328,0.9671
CUST00329,0.9462
CUST00330,0.9507
CUST00331,0.1008
CUST00332,0.1094
CUST00333,0.9508
CUST00334,0.071
CUST00335,0.9674
CUST00336,0.0899
CUST00337,0.0981
CUST00338,0.9477
CUST00339,0.9619
CUST00340,0.0882
CUST00341,0.9626
CUST00342,0.997
CUST00343,0.1105
CUST00344,0.9547
CUST00345,0.9592
CUST00346,0.9522
CUST00347,0.9416
CUST00348,0.9665
CUST00349,0.0898
CUST00350,0.9527
CUST00351,0.9618
CUST00352,0.9613
CUST00353,0.9766
CUST00354,0.1002
CUST00355,0.0786
CUST00356,0.9641
CUST00357,0.0861
CUST00358,0.9471
CUST00359,0.0566
CUST00360,0.1184
CUST00361,0.9515
CUST00362,0.1192
CUST00363,0.9512
CUST00364,0.068
CUST00365,0.0823
CUST00366,0.1051
CUST00367,0.9552
CUST00368,0.0926
CUST00369,0.9205
CUST00370,0.0717
CUST00371,0.1
CUST00372,0.0841
CUST00373,0.0676
CUST00374,0.0722
CUST00375,0.9566
CUST00376,0.951
CUST00377,0.0966
CUST00378,0.0788
CUST00379,0.9573
CUST00380,0.9529
CUST00381,0.139
CUST00382,0.9635
CUST00383,0.9541
CUST00384,0.9669
CUST00385,0.9574
CUST00386,0.9511
CUST00387,0.942
CUST00388,0.9453
CUST00389,0.9496
CUST00390,0.9504
CUST00391,0.0791
CUST00392,0.1021
CUST00393,0.0953
CUST00394,0.9564
CUST00395,0.9934
CUST00396,0.0958
CUST00397,0.1199
CUST00398,0.9513
CUST00399,0.9536
CUST00400,0.9639
CUST00401,0.1208
CUST00402,0.9589
CUST00403,0.9475
CUST00404,0.9608
CUST00405,0.9606
CUST00406,0.9618
CUST00407,0.9634
CUST00408,0.0873
CUST00409,0.9623
CUST00410,0.9609
CUST00411,0.9622
CUST00412,0.9515
CUST00413,0.9468
CUST00414,0.9618
CUST00415,0.9923
CUST00416,0.9667
CUST00417,0.9551
CUST00418,0.9519
CUST00419,0.1132
CUST00420,0.9661
CUST00421,0.9603
CUST00422,0.1117
CUST00423,0.114
CUST00424,0.9973
CUST00425,0.0862
CUST00426,0.0721
CUST00427,0.9666
CUST00428,0.9663
CUST00429,0.9706
CUST00430,0.9614
CUST00431,0.9432
CUST00432,0.9593
CUST00433,0.9577
CUST00434,0.9969
CUST00435,0.0752
CUST00436,0.9548
CUST00437,0.1084
CUST00438,0.9938
CUST00439,0.0939
CUST00440,0.9629
CUST00441,0.8302
CUST00442,0.0909
CUST00443,0.1189
CUST00444,0.9959
CUST00445,0.9665
CUST00446,0.9691
CUST00447,0.9607
CUST00448,0.1026
CUST00449,0.0934
CUST00450,0.1178
CUST00451,0.9523
CUST00452,0.0861
CUST00453,0.9572
CUST00454,0.1222
CUST00455,0.085
CUST00456,0.9618
CUST00457,0.9712
CUST00458,0.963
CUST00459,0.9617
CUST00460,0.0787
CUST00461,0.9553
CUST00462,0.9666
CUST00463,0.998
CUST00464,0.0841
CUST00465,0.9428
CUST00466,0.9542
CUST00467,0.9948
CUST00468,0.9509
CUST00469,0.9708
CUST00470,0.1044
CUST00471,0.9918
CUST00472,0.0907
CUST00473,0.9713
CUST00474,0.9573
CUST00475,0.9551
CUST00476,0.9565
CUST00477,0.0848
CUST00478,0.9507
CUST00479,0.985
CUST00480,0.952
CUST00481,0.9516
CUST00482,0.957
CUST00483,0.9619
CUST00484,0.9534
CUST00485,0.9922
CUST00486,0.9501
CUST00487,0.1341
CUST00488,0.0896
CUST00489,0.9488
CUST00490,0.954
CUST00491,0.0941
CUST00492,0.953
CUST00493,0.9447
CUST00494,0.1091
CUST00495,0.9267
CUST00496,1.0
CUST00497,0.9567
CUST00498,0.9585
CUST00499,0.9702
CUST00500,0.9512
CUST00501,0.9493
CUST00502,0.948
CUST00503,0.1082
CUST00504,0.9634
CUST00505,0.9689
CUST00506,0.0628
CUST00507,0.9656
CUST00508,0.9968
CUST00509,0.9522
CUST00510,0.9513
CUST00511,0.956
CUST00512,0.9511
CUST00513,0.9541
CUST00514,0.106
CUST00515,0.0569
CUST00516,0.9431
CUST00517,0.9532
CUST00518,0.9617
CUST00519,0.9631
CUST00520,0.9946
CUST00521,0.9757
CUST00522,0.1367
CUST00523,0.0872
CUST00524,0.9717
CUST00525,0.0858
CUST00526,0.0836
CUST00527,0.1064
CUST00528,0.9553
CUST00529,0.9553
CUST00530,0.0779
CUST00531,0.9607
CUST00532,0.9677
CUST00533,0.1166
CUST00534,0.9608
CUST00535,0.9527
CUST00536,0.9539
CUST00537,0.0781
CUST00538,0.0944
CUST00539,0.9648
CUST00540,0.9471
CUST00541,0.9631
CUST00542,0.1118
CUST00543,0.0856
CUST00544,0.9515
CUST00545,0.0945
CUST00546,0.9552
CUST00547,0.9538
CUST00548,0.9507
CUST00549,0.9541
CUST00550,0.9647
CUST00551,0.0831
CUST00552,0.0986
CUST00553,0.1096
CUST00554,0.9477
CUST00555,0.9401
CUST00556,0.1245
CUST00557,0.9443
CUST00558,0.1148
CUST00559,0.995
CUST00560,0.9501
CUST00561,0.0656
CUST00562,0.9495
CUST00563,0.0988
CUST00564,0.1224
CUST00565,0.955
CUST00566,0.9973
CUST00567,0.96
CUST00568,0.0934
CUST00569,0.9568
CUST00570,0.1141
CUST00571,0.9522
CUST00572,0.9605
CUST00573,0.9503
CUST00574,0.0779
CUST00575,0.9629
CUST00576,0.0953
CUST00577,0.953
CUST00578,0.9304
CUST00579,0.9605
CUST00580,0.9409
CUST00581,0.9631
CUST00582,0.1038
CUST00583,0.9689
CUST00584,0.0695
CUST00585,0.0868
CUST00586,0.9601
CUST00587,0.9419
CUST00588,0.9508
CUST00589,0.1083
CUST00590,0.0723
CUST00591,0.1051
CUST00592,0.9627
CUST00593,0.0845
CUST00594,0.9976
CUST00595,0.0877
CUST00596,0.9512
CUST00597,0.945
CUST00598,0.9037
CUST00599,0.0806
CUST00600,0.0543
CUST00601,0.9488
CUST00602,0.0923
CUST00603,0.0839
CUST00604,0.9529
CUST00605,0.0989
CUST00606,0.9451
CUST00607,0.0639
CUST00608,0.9626
CUST00609,0.0995
CUST00610,0.9548
CUST00611,0.9747
CUST00612,0.9676
CUST00613,0.9506
CUST00614,0.9961
CUST00615,0.0993
CUST00616,0.0996
CUST00617,0.9588
CUST00618,0.9424
CUST00619,0.9519
CUST00620,0.9581
CUST00621,0.9521
CUST00622,0.962
CUST00623,0.9577
CUST00624,0.0887
CUST00625,0.9478
CUST00626,0.9401
CUST00627,0.9456
CUST00628,0.1005
CUST00629,0.964
CUST00630,0.9676
CUST00631,0.9982
CUST00632,0.9455
CUST00633,0.0886
CUST00634,0.9624
CUST00635,0.9571
CUST00636,0.9646
CUST00637,0.9623
CUST00638,0.1086
CUST00639,0.9629
CUST00640,0.9569
CUST00641,0.9637
CUST00642,0.9596
CUST00643,0.9594
CUST00644,0.9607
CUST00645,0.9468
CUST00646,0.9655
CUST00647,0.9489
CUST00648,0.0876
CUST00649,0.9719
CUST00650,0.1129
CUST00651,0.9527
CUST00652,0.9968
CUST00653,0.9954
CUST00654,0.9524
CUST00655,0.9591
CUST00656,0.949
CUST00657,0.9569
CUST00658,0.0931
CUST00659,0.9944
CUST00660,0.1414
CUST00661,0.0912
CUST00662,0.1242
CUST00663,0.949
CUST00664,0.9556
CUST00665,0.9661
CUST00666,0.9543
CUST00667,0.0973
CUST00668,0.0919
CUST00669,0.9522
CUST00670,0.0824
CUST00671,0.9568
CUST00672,0.966
CUST00673,0.9623
CUST00674,0.9571
CUST00675,0.9663
CUST00676,0.9561
CUST00677,0.0947
CUST00678,0.995
CUST00679,0.9959
CUST00680,0.1068
CUST00681,0.0989
CUST00682,0.9621
CUST00683,0.9624
CUST00684,0.9708
CUST00685,0.955
CUST00686,0.9581
CUST00687,0.994
CUST00688,0.9536
CUST00689,0.9583
CUST00690,0.9712
CUST00691,0.1208
CUST00692,0.9973
CUST00693,0.9563
CUST00694,0.0718
CUST00695,0.9464
CUST00696,0.9652
CUST00697,0.9684
CUST00698,0.0752
CUST00699,0.9591
CUST00700,0.0973
CUST00701,0.997
CUST00702,0.9682
CUST00703,0.099
CUST00704,0.9478
CUST00705,0.9522
CUST00706,0.0703
CUST00707,0.9542
CUST00708,0.0629
CUST00709,0.0903
CUST00710,0.9535
CUST00711,0.9675
CUST00712,0.9413
CUST00713,0.1041
CUST00714,0.9583
CUST00715,0.9401
CUST00716,0.0798
CUST00717,0.9792
CUST00718,0.9497
CUST00719,0.9434
CUST00720,0.9674
CUST00721,0.9638
CUST00722,0.0575
CUST00723,0.9661
CUST00724,0.9568
CUST00725,0.0701
CUST00726,0.1099
CUST00727,0.9618
CUST00728,0.0572
CUST00729,0.947
CUST00730,0.962
CUST00731,0.95
CUST00732,0.9611
CUST00733,0.0812
CUST00734,0.9684
CUST00735,0.9676
CUST00736,0.9591
CUST00737,0.9658
CUST00738,0.9738
CUST00739,0.0881
CUST00740,0.9593
CUST00741,0.0681
CUST00742,0.9413
CUST00743,0.9968
CUST00744,0.9239
CUST00745,0.0707
CUST00746,0.079
CUST00747,0.0725
CUST00748,0.9613
CUST00749,0.9591
CUST00750,0.0797
CUST00751,0.9441
CUST00752,0.9518
CUST00753,0.9488
CUST00754,0.9513
CUST00755,0.9976
CUST00756,0.9554
CUST00757,0.937
CUST00758,0.9513
CUST00759,0.9547
CUST00760,0.9532
CUST00761,0.9542
CUST00762,0.0781
CUST00763,0.933
CUST00764,0.0922
CUST00765,0.9628
CUST00766,0.9656
CUST00767,0.1425
CUST00768,0.9493
CUST00769,0.9615
CUST00770,0.9552
CUST00771,0.9577
CUST00772,0.9701
CUST00773,0.959
CUST00774,0.9575
CUST00775,0.9506
CUST00776,0.1096
CUST00777,0.9462
CUST00778,0.9488
CUST00779,0.9593
CUST00780,0.9987
CUST00781,0.9576
CUST00782,0.1171
CUST00783,0.9591
CUST00784,0.9614
CUST00785,0.9513
CUST00786,0.965
CUST00787,0.9605
CUST00788,0.9406
CUST00789,0.9559
CUST00790,0.9586
CUST00791,0.942
CUST00792,0.962
CUST00793,0.9528
CUST00794,0.1289
CUST00795,0.0846
CUST00796,0.9709
CUST00797,0.9527
CUST00798,0.9953
CUST00799,0.0966
CUST00800,0.1323
CUST00801,0.9545
CUST00802,0.9583
CUST00803,0.9595
CUST00804,0.9471
CUST00805,0.0793
CUST00806,0.9616
CUST00807,0.9109
CUST00808,0.9549
CUST00809,0.9407
CUST00810,0.9563
CUST00811,0.9427
CUST00812,0.1071
CUST00813,0.0857
CUST00814,0.9479
CUST00815,0.0674
CUST00816,0.9525
CUST00817,0.9517
CUST00818,0.9708
CUST00819,0.9586
CUST00820,0.9649
CUST00821,0.075
CUST00822,0.9701
CUST00823,0.9565
CUST00824,0.1309
CUST00825,0.9548
CUST00826,0.9565
CUST00827,0.0892
CUST00828,0.0807
CUST00829,0.9478
CUST00830,0.9961
CUST00831,0.0655
CUST00832,0.9666
CUST00833,0.0834
CUST00834,0.9639
CUST00835,0.1068
CUST00836,0.1129
CUST00837,0.9504
CUST00838,0.9541
CUST00839,0.9595
CUST00840,0.0793
CUST00841,0.9572
CUST00842,0.1312
CUST00843,0.9154
CUST00844,0.9607
CUST00845,0.9641
CUST00846,0.9644
CUST00847,0.9475
CUST00848,0.9402
CUST00849,0.9948
CUST00850,0.9743
CUST00851,0.9717
CUST00852,0.9976
CUST00853,0.0878
CUST00854,0.0925
CUST00855,0.0632
CUST00856,0.9494
CUST00857,0.9622
CUST00858,0.0809
CUST00859,0.0996
CUST00860,0.9664
CUST00861,0.9635
CUST00862,0.942
CUST00863,0.9526
CUST00864,0.1058
CUST00865,0.9568
CUST00866,0.0912
CUST00867,0.9636
CUST00868,0.0758
CUST00869,0.9547
CUST00870,0.9456
CUST00871,0.9987
CUST00872,0.9562
CUST00873,0.9222
CUST00874,0.9627
CUST00875,0.9438
CUST00876,0.9581
CUST00877,0.9931
CUST00878,0.9598
CUST00879,0.9562
CUST00880,0.9569
CUST00881,0.9588
CUST00882,0.0885
CUST00883,0.9579
CUST00884,0.9547
CUST00885,0.9528
CUST00886,0.9648
CUST00887,0.0903
CUST00888,0.9533
CUST00889,0.9629
CUST00890,0.081
CUST00891,0.087
CUST00892,0.9521
CUST00893,0.9621
CUST00894,0.9545
CUST00895,0.9616
CUST00896,0.9541
CUST00897,0.0857
CUST00898,0.1113
CUST00899,0.9567
CUST00900,0.9985
CUST00901,0.9744
CUST00902,0.9608
CUST00903,0.9605
CUST00904,0.9556
CUST00905,0.9639
CUST00906,0.9967
CUST00907,0.0865
CUST00908,0.9571
CUST00909,0.1023
CUST00910,0.0775
CUST00911,0.9473
CUST00912,0.0872
CUST00913,0.958
CUST00914,0.0777
CUST00915,0.9472
CUST00916,0.0722
CUST00917,0.0715
CUST00918,0.9642
CUST00919,0.9446
CUST00920,0.9638
CUST00921,0.9367
CUST00922,0.9551
CUST00923,0.1075
CUST00924,0.1153
CUST00925,0.9482
CUST00926,0.1045
CUST00927,0.9542
CUST00928,0.9509
CUST00929,0.0685
CUST00930,0.9589
CUST00931,0.0732
CUST00932,0.9458
CUST00933,0.9412
CUST00934,0.9724
CUST00935,0.9586
CUST00936,0.0839
CUST00937,0.9522
CUST00938,0.9556
CUST00939,0.9758
CUST00940,0.0926
CUST00941,0.9499
CUST00942,0.9982
CUST00943,0.102
CUST00944,0.9615
CUST00945,0.9557
CUST00946,0.9543
CUST00947,0.9959
CUST00948,0.9636
CUST00949,0.0971
CUST00950,0.0488
CUST00951,0.9607
CUST00952,0.1106
CUST00953,0.9537
CUST00954,0.9648
CUST00955,0.9498
CUST00956,0.9694
CUST00957,0.9365
CUST00958,0.9539
CUST00959,0.9474
CUST00960,0.9899
CUST00961,0.9667
CUST00962,0.9597
CUST00963,0.955
CUST00964,0.9575
CUST00965,0.9583
CUST00966,0.9537
CUST00967,0.0673
CUST00968,0.9672
CUST00969,0.9514
CUST00970,0.9568
CUST00971,0.103
CUST00972,0.0899
CUST00973,0.9546
CUST00974,0.1012
CUST00975,0.9516
CUST00976,0.9631
CUST00977,0.0905
CUST00978,0.952
CUST00979,0.9575
CUST00980,0.9578
CUST00981,0.9963
CUST00982,0.959
CUST00983,0.9646
CUST00984,0.9647
CUST00985,0.9568
CUST00986,0.9607
CUST00987,0.9692
CUST00988,0.0952
CUST00989,0.1024
CUST00990,0.0844
CUST00991,0.9633
CUST00992,0.9572
CUST00993,0.9981
CUST00994,0.1076
CUST00995,0.0799
CUST00996,0.9607
CUST00997,0.9559
CUST00998,0.9536
CUST00999,0.9509
CUST01000,0.9539
CUST01001,0.9613
CUST01002,0.1238
CUST01003,0.9509
CUST01004,0.9583
CUST01005,0.9556
CUST01006,0.9487
CUST01007,0.9681
CUST01008,0.9763
CUST01009,0.091
CUST01010,0.9657
CUST01011,0.9591
CUST01012,0.1095
CUST01013,0.0862
CUST01014,0.9636
CUST01015,0.1076
CUST01016,0.9521
CUST01017,0.0867
CUST01018,0.9642
CUST01019,0.0696
CUST01020,0.9441
CUST01021,0.9685
CUST01022,0.9601
CUST01023,0.9435
CUST01024,0.9646
CUST01025,0.9509
CUST01026,0.9486
CUST01027,0.9529
CUST01028,0.1228
CUST01029,0.0846
CUST01030,0.9618
CUST01031,0.9449
CUST01032,0.1055
CUST01033,0.071
CUST01034,0.1247
CUST01035,0.9513
CUST01036,0.0613
CUST01037,0.9513
CUST01038,0.9575
CUST01039,0.0922
CUST01040,0.11
CUST01041,0.1039
CUST01042,0.9532
CUST01043,0.9679
CUST01044,0.0585
CUST01045,0.961
CUST01046,0.0917
CUST01047,0.9468
CUST01048,0.0856
CUST01049,0.9646
CUST01050,0.9621
CUST01051,0.9566
CUST01052,0.9474
CUST01053,0.9514
CUST01054,0.9574
CUST01055,0.0946
CUST01056,0.9484
CUST01057,0.9465
CUST01058,0.9975
CUST01059,0.9572
CUST01060,0.0874
CUST01061,0.9984
CUST01062,0.0793
CUST01063,0.9504
CUST01064,0.9537
CUST01065,0.0792
CUST01066,0.9579
CUST01067,0.9506
CUST01068,0.1195
CUST01069,0.956
CUST01070,0.0821
CUST01071,0.9522
CUST01072,0.957
CUST01073,0.102
CUST01074,0.0778
CUST01075,0.1179
CUST01076,0.9424
CUST01077,0.1125
CUST01078,0.9532
CUST01079,0.1061
CUST01080,0.9668
CUST01081,0.0756
CUST01082,0.9664
CUST01083,0.0926
CUST01084,0.958
CUST01085,0.0676
CUST01086,0.9629
CUST01087,0.0922
CUST01088,0.9648
CUST01089,0.9509
CUST01090,0.0839
CUST01091,0.1037
CUST01092,0.9484
CUST01093,0.1205
CUST01094,0.9566
CUST01095,0.9496
CUST01096,0.9974
CUST01097,0.9693
CUST01098,0.9588
CUST01099,0.9613
CUST01100,0.9448
CUST01101,0.9696
CUST01102,0.9534
CUST01103,0.1334
CUST01104,0.9621
CUST01105,0.958
CUST01106,0.9463
CUST01107,0.9652
CUST01108,0.1104
CUST01109,0.9596
CUST01110,0.0572
CUST01111,0.073
CUST01112,0.1003
CUST01113,0.9609
CUST01114,0.9653
CUST01115,0.0554
CUST01116,0.9975
CUST01117,0.9568
CUST01118,0.9628
CUST01119,0.1207
CUST01120,0.9982
CUST01121,0.9989
CUST01122,0.9546
CUST01123,0.9553
CUST01124,0.9688
CUST01125,0.961
CUST01126,0.9489
CUST01127,0.9865
CUST01128,0.9566
CUST01129,0.9169
CUST01130,0.0898
CUST01131,0.9637
CUST01132,0.9587
CUST01133,0.0762
CUST01134,0.1243
CUST01135,0.9604
CUST01136,0.0918
CUST01137,0.0882
CUST01138,0.9677
CUST01139,0.9478
CUST01140,0.0661
CUST01141,0.0592
CUST01142,0.0634
CUST01143,0.9603
CUST01144,0.0574
CUST01145,0.9604
CUST01146,0.9531
CUST01147,0.9595
CUST01148,0.0885
CUST01149,0.9215
CUST01150,0.949
CUST01151,0.9705
CUST01152,0.9556
CUST01153,0.0999
CUST01154,0.9432
CUST01155,0.1073
CUST01156,0.9512
CUST01157,0.1059
CUST01158,0.9515
CUST01159,0.0657
CUST01160,0.9435
CUST01161,0.1108
CUST01162,0.091
CUST01163,0.9575
CUST01164,0.9661
CUST01165,0.9651
CUST01166,0.9596
CUST01167,0.0875
CUST01168,0.9989
CUST01169,0.9927
CUST01170,0.9667
CUST01171,0.9568
CUST01172,0.0632
CUST01173,0.9464
CUST01174,0.9475
CUST01175,0.1081
CUST01176,0.11
CUST01177,0.97
CUST01178,0.9634
CUST01179,0.1249
CUST01180,0.9692
CUST01181,0.0721
CUST01182,0.1152
CUST01183,0.0856
CUST01184,0.1016
CUST01185,0.1014
CUST01186,0.1062
CUST01187,0.9394
CUST01188,0.0868
CUST01189,0.0929
CUST01190,0.9484
CUST01191,0.9937
CUST01192,0.9483
CUST01193,0.9437
CUST01194,0.0844
CUST01195,0.0971
CUST01196,0.0896
CUST01197,0.0934
CUST01198,0.962
CUST01199,0.9571
CUST01200,0.08
CUST01201,0.1134
CUST01202,0.9485
CUST01203,0.96
CUST01204,0.1128
CUST01205,0.9534
CUST01206,0.9671
CUST01207,0.1233
CUST01208,0.9664
CUST01209,0.9653
CUST01210,0.1157
CUST01211,0.0971
CUST01212,0.953
CUST01213,0.0731
CUST01214,0.0883
CUST01215,0.9723
CUST01216,0.0885
CUST01217,0.9291
CUST01218,0.995
CUST01219,0.9543
CUST01220,0.9673
CUST01221,0.9558
CUST01222,0.9948
CUST01223,0.0814
CUST01224,0.1024
CUST01225,0.9612
CUST01226,0.9484
CUST01227,0.998
CUST01228,0.115
CUST01229,0.0841
CUST01230,0.1205
CUST01231,0.9423
CUST01232,0.0791
CUST01233,0.966
CUST01234,0.9524
CUST01235,0.9631
CUST01236,0.1154
CUST01237,0.9919
CUST01238,0.1076
CUST01239,0.9362
CUST01240,0.9452
CUST01241,0.9564
CUST01242,0.9512
CUST01243,0.1052
CUST01244,0.9475
CUST01245,0.9567
CUST01246,0.9595
CUST01247,0.1089
CUST01248,0.098
CUST01249,0.9603
CUST01250,0.9959
CUST01251,0.0868
CUST01252,0.0882
CUST01253,0.9598
CUST01254,0.1169
CUST01255,0.954
CUST01256,0.0913
CUST01257,0.9564
CUST01258,0.9618
CUST01259,0.105
CUST01260,0.0857
CUST01261,0.9639
CUST01262,0.9641
CUST01263,0.1003
CUST01264,0.9424
CUST01265,0.9974
CUST01266,0.0948
CUST01267,0.9615
CUST01268,0.9638
CUST01269,0.9503
CUST01270,0.0561
CUST01271,0.9718
CUST01272,0.0903
CUST01273,0.9378
CUST01274,0.0634
CUST01275,0.0702
CUST01276,0.1141
CUST01277,0.0754
CUST01278,0.0776
CUST01279,0.0912
CUST01280,0.0781
CUST01281,0.9658
